BARCODE,NAMA BARANG,,BRAND,KATEGORI,SUB KATEGORI, STOK , HPP , HARGA JUAL , MULAI DARI 1 , SAMPAI DENGAN 1 , TINGKAT 1 , MULAI DARI 2 , SAMPAI DENGAN 2 , TINGKAT 2 , MULAI DARI 3 , SAMPAI DENGAN 3 , TINGKAT 3 , MULAI DARI 4 , SAMPAI DENGAN 4 , TINGKAT 4 ,KATEGORI PELANGGAN,HARGA KATEGORI
,Pp psn 35x60x08,,,PP PESANAN 08,,,3015,3560,100,299,3455,300,99999,3350,,, - ,,, - ,,
,Pp psn 35x65x08,,,PP PESANAN 08,,,3015,3560,100,299,3455,300,99999,3350,,, - ,,, - ,,
,Pp psn 11x13x015 LT,,,PP PSN LAS TENGAH,,,3525,4106,100,299,4008,300,99999,3898,,, - ,,, - ,,
,Pp psn 20x15x03 LT,,,PP PSN LAS TENGAH,,,3465,4075,100,299,3975,300,99999,3870,,, - ,,, - ,,
,Pp psn 30x46x03 LT,,,PP PESANAN LAS TENGAH,,,3465,4105,100,299,4000,300,99999,3900,,, - ,,, - ,,
,Pp psn 35x47x05 las tengah buntet,,,PP PSN LAS TENGAH,,,3515,4135,100,299,4030,300,99999,3925,,, - ,,, - ,,
,Pp psn 45x34x05 LT,,,PP PSN LAS TENGAH,,,3465,4106,100,299,4008,300,99999,3898,,, - ,,, - ,,
,Pp roll 10x015,,,PP ROLL 015,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 11x015,,,PP ROLL 015,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 12x015,,,PP ROLL 015,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 13x015,,,PP ROLL 015,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 14x015,,,PP ROLL 015,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 15x015,,,PP ROLL 015,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 16x015,,,PP ROLL 015,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 17x015,,,PP ROLL 015,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 18x015,,,PP ROLL 015,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 20x015,,,PP ROLL 015,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 23x015,,,PP ROLL 015,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 7x015,,,PP ROLL 015,,,2980,3530,100,249,3440,250,99999,3355,,, - ,,, - ,,
,Pp roll 8x015,,,PP ROLL 015,,,2875,3405,100,249,3320,250,99999,3235,,, - ,,, - ,,
,Pp roll 9x015,,,PP ROLL 015,,,2875,3405,100,249,3320,250,99999,3235,,, - ,,, - ,,
,Pp roll 10x02,,,PP ROLL 02,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 13x02,,,PP ROLL 02,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 18x02,,,PP ROLL 02,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 30x02,,,PP ROLL 02,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 35x02,,,PP ROLL 02,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 40x02,,,PP ROLL 02,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 8x02,,,PP ROLL 02,,,2875,3405,100,249,3320,250,99999,3235,,, - ,,, - ,,
,Pp roll 9x02,,,PP ROLL 02,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 10x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 11x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 12x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 13x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 14x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 15x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 16x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 17x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 18x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 20x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 22x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 23x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 25x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 26x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 28x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 30x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 35x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 40x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 45x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 50x03,,,PP ROLL 03,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 5x03,,,PP ROLL 03,,,2880,3415,100,249,3325,250,99999,3240,,, - ,,, - ,,
,Pp roll 60x03,,,PP ROLL 03,,,2840,3365,100,249,3280,250,99999,3195,,, - ,,, - ,,
,Pp roll 6x03,,,PP ROLL 03,,,2860,3390,100,249,3305,250,99999,3220,,, - ,,, - ,,
,Pp roll 7x03,,,PP ROLL 03,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 8x03,,,PP ROLL 03,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 9x03,,,PP ROLL 03,,,2845,3370,100,249,3285,250,99999,3200,,, - ,,, - ,,
,Pp roll 25x04,,,PP ROLL 04,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 10x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 11x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 12x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 13x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 14x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 15x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 16x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 17x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 18x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 20x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 22x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 23x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 25x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 26x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 28x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 30x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 35x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 40x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 45x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 50x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 60x05,,,PP ROLL 05,,,2840,3365,100,249,3280,250,99999,3195,,, - ,,, - ,,
,Pp roll 6x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 7x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 8x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 9x05,,,PP ROLL 05,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 27x07,,,PP ROLL 07,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 10x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 11x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 12x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 13x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 14x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 15x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 16x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 17x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 18x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 20x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 22x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 23x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 25x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 26x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 28x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 29x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 30x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,, - ,,, - ,,
,Pp roll 35x08,,,PP ROLL 08,,,2830,3355,100,249,3270,250,99999,3185,,,3135,,, - ,,
,Rafia 88 super,,,RAFIA,,,4050,5500,10,29,4982,30,99999,4860,,, - ,,, - ,,
,Rafia Ban H,,,RAFIA,,,1250,1600,,, - ,,, - ,,, - ,,, - ,,
,Rafia monggo htm,,,RAFIA,,,10925,15000,10,29,13656,30,99999,12892,,, - ,,, - ,,
,Rafia naga 1/2kg,,,RAFIA,,,19800,25000,10,29,23958,30,99999,23364,,, - ,,, - ,,
,Rafia naga 1kg,,,RAFIA,,,38975,48500,10,29,46770,30,99999,45601,,, - ,,, - ,,
,Rafia naga mini,,,RAFIA,,,813,2000,10,59,1065,60,99999,976,,, - ,,, - ,,
,Sablon Bias Mart b tic tas mrh,,,SABLON BIAS MART,,,160,190,,, - ,,, - ,,, - ,,, - ,,
,Sablon lazis mPAQ tic tas mrh bsr,,,SABLON BIAS MART,,,160,190,,, - ,,, - ,,, - ,,, - ,,
,Sablon masjid al Furqon HD 5 kg 05 polos,,,SABLON MASJID AL FURQON,,,635,665,,, - ,,, - ,,, - ,,, - ,,
,Sablon masjid al Furqon Pe 5 kg 08,,,SABLON MASJID AL FURQON,,,350,380,,, - ,,, - ,,, - ,,, - ,,
,Sablon masjid al furqon tic tas mrh p b,,,SABLON MASJID AL FURQON,,,170,200,,, - ,,, - ,,, - ,,, - ,,
,Sablon masjid al furqon tic tas mrh p k,,,SABLON MASJID AL FURQON,,,140,170,,, - ,,, - ,,, - ,,, - ,,
,Sablon masjid al furqon tic tas mrh p tg,,,SABLON MASJID AL FURQON,,,470,500,,, - ,,, - ,,, - ,,, - ,,
,Sablon masjid baitunna'm bsr laku p,,,SABLON MASJID BAITUNNA'M,,,185,215,,, - ,,, - ,,, - ,,, - ,,
,Sablon gula jawa ndares 5 kg 05,,,SABLON GULA JAWA NDARES,,,150,180,,, - ,,, - ,,, - ,,, - ,,
,sablon orchid 2 kg 03,,,SABLON ORCHID,,,105,135,,, - ,,, - ,,, - ,,, - ,,
,Sablon puskesmas girisubo k laku p,,,SABLON PUSKESMAS GIRISUBO,,,170,200,,, - ,,, - ,,, - ,,, - ,,
,Sablon seko dapur opp 13x15,,,SABLON SEKO DAPUR,,,110,140,,, - ,,, - ,,, - ,,, - ,,
,Sablon brs super raja b,,,SABLON SUPER RAJA B,,,140,170,,, - ,,, - ,,, - ,,, - ,,
,Sablon SwissDeli Jb. Tic Tas P,,,SABLON SWISSDELI,,,220,250,,, - ,,, - ,,, - ,,, - ,,
,Sablon SwissDeli opp mcn 15x15x03,,,SABLON SWISSDELI,,,150,180,,, - ,,, - ,,, - ,,, - ,,
,Sablon SwissDeli opp mcn 15x30x03,,,SABLON SWISSDELI,,,150,180,,, - ,,, - ,,, - ,,, - ,,
,Sablon terminal roti opp 17x24x03 mcn,,,SABLON TERMINAL ROTI,,,135,165,,, - ,,, - ,,, - ,,, - ,,
,"Sablon terminal roti opp 18,5x24x03 mcn",,,SABLON TERMINAL ROTI,,,135,165,,, - ,,, - ,,, - ,,, - ,,
,Sablon terminal roti opp mcn 14x22x03,,,SABLON TERMINAL ROTI,,,120,150,,, - ,,, - ,,, - ,,, - ,,
,Sablon terminal roti opp mcn 15x22x03,,,SABLON TERMINAL ROTI,,,120,150,,, - ,,, - ,,, - ,,, - ,,
,Sarung tangan glovio,,,SARUNG TANGAN,,,5670,8500,10,29,7500,30,49,7000,50,99999,6500,,, - ,,
,Sarung tangan harmony,,,SARUNG TANGAN,,,5794,8500,10,29,7500,30,49,7000,50,99999,6500,,, - ,,
,Sarung tangan pota,,,SARUNG TANGAN,,,4100,7000,10,29,6500,30,49,6000,50,99999,5500,,, - ,,
,Sdt 12 mm,,,SEDOTAN,,,8400,10000,10,19,9600,20,99999,9240,,, - ,,, - ,,
,sdt 6 mm,,,SEDOTAN,,,8225,9500,10,29,9200,30,39,9080,40,99999,8950,,, - ,,
,Sdt 6 mm steril h,,,SEDOTAN,,,9750,13500,10,29,13000,30,39,12500,40,99999,12000,,,10238,,
,Sdt 6 mm steril transparan,,,SEDOTAN,,,9750,13500,10,29,13000,30,39,12500,40,99999,12000,,, - ,,
,Sdt aqua/ons,,,SEDOTAN,,,4410,5500,50,99999,5116,,, - ,,, - ,,, - ,,
,"Sdt kopi 1,2 mm",,,SEDOTAN,,,7524,14000,10,29,12400,30,99999,11500,,, - ,,, - ,,
,Sdt panda,,,SEDOTAN,,,865,1500,25,49,977,50,249,956,250,99999,930,,, - ,,
,Sdt pop ice p,,,SEDOTAN,,,5985,8500,10,29,7300,30,74,7150,75,99999,7000,,, - ,,
,Sdt pop ice r,,,SEDOTAN,,,6099,9000,10,29,7900,30,74,7650,75,99999,7400,,, - ,,
,Sdt putih,,,SEDOTAN,,,35860,45000,5,6,41956,7,99999,40163,,, - ,,, - ,,
,sdt steril h,,,SEDOTAN,,,17588,25000,10,19,23800,20,99999,22800,,, - ,,, - ,,
,Sdt steril p,,,SEDOTAN,,,17588,25000,10,19,23800,20,99999,22800,,, - ,,, - ,,
,Sdt terong,,,SEDOTAN,,,2573,3500,10,29,3180,30,99,3125,100,99999,3070,,, - ,,
,Sdt warna,,,SEDOTAN,,,28875,33500,10,14,32582,15,99999,32050,,, - ,,, - ,,
,Grp buah fim,,,SENDOK,,,3173,4500,10,29,4250,30,99,4000,100,99999,3830,,, - ,,
,Grp buah victory,,,SENDOK,,,2150,4000,10,29,3750,30,99,3500,100,99999,3300,,, - ,,
,Grp makan suapi doft,,,SENDOK,,,12257,15000,10,19,14100,20,99999,13590,,, - ,,, - ,,
,Grp suapi bng,,,SENDOK,,,13500,17500,10,19,16250,20,99999,15550,,, - ,,, - ,,
,Sdk ager bng vict,,,SENDOK,,,4575,6000,10,29,5500,30,99,5300,100,99999,5100,,, - ,,
,sdk ager ec,,,SENDOK,,,2500,3000,,, - ,,, - ,,, - ,,, - ,,
,Sdk ager mirosa,,,SENDOK,,,18165,22000,10,14,21300,15,99999,20800,,, - ,,, - ,,
,Sdk bbk bng vict,,,SENDOK,,,5875,9000,10,29,8400,30,49,8100,50,99999,7800,,, - ,,
,Sdk bbk wrn vict,,,SENDOK,,,4000,6200,10,29,5700,30,49,5500,50,99999,5200,,, - ,,
,Sdk bebek suapi doft,,,SENDOK,,,9888,13500,10,19,12800,20,99999,11800,,, - ,,, - ,,
,Sdk bebek warna polos,,,SENDOK,,,3300,5500,10,19,5000,20,99999,4500,,, - ,,, - ,,
,Sdk ice cream kayu ion,,,SENDOK,,,1460,2000,20,199,1750,200,399,1685,400,99999,1615,,, - ,,
,Sdk ice cream pinus,,,SENDOK,,,1450,2000,20,199,1900,200,399,1850,400,99999, - ,,, - ,,
,Sdk makan bening,,,SENDOK,,,18500,21900,10,39,21330,40,99999,20601,,, - ,,, - ,,
,Sdk makan lyberty doft,,,SENDOK,,,2853,4000,10,29,3500,30,79,3281,80,99999,3167,,, - ,,
,Sdk makan suapi bng,,,SENDOK,,,13500,17500,10,19,16250,20,99999,15550,,, - ,,, - ,,
,Sdk makan suapi doft,,,SENDOK,,,12257,15000,10,19,14100,20,99999,13590,,, - ,,, - ,,
,Sdk teh bng vict,,,SENDOK,,,5300,8000,10,29,7300,30,99,7150,100,99999,7000,,,6500,,
,Spork steril h,,,SENDOK,,,21000,26000,10,29,25300,30,99999,24450,,, - ,,, - ,,
,Stick kayu ion,,,SENDOK,,,1460,2000,10,99,1750,100,399,1685,400,99999,1615,,, - ,,
,Stick Kayu Pinus,,,SENDOK,,,1450,3200,10,99,2700,100,399,2000,400,99999, - ,,, - ,,
,Sb 20 x 30,,,SHOPPING BAG,,,14385,20000,10,29,19420,30,99,19132,100,99999,18844,,, - ,,
,Sb 25 x 30,,,SHOPPING BAG,,,17325,24000,10,29,23389,30,79,23042,80,99999,22696,,, - ,,
,Sb 25 x 35,,,SHOPPING BAG,,,20450,25500,10,29,25000,30,79,24600,80,99999,24200,,, - ,,
,Sb 25 x 35 rea,,,SHOPPING BAG,,,22638,28000,10,29,27166,30,79,26034,80,99999,24902,,, - ,,
,Sb 30 x 30,,,SHOPPING BAG,,,18750,26000,10,29,25313,30,69,24938,70,99999,24563,,, - ,,
,Sb 30 x 40,,,SHOPPING BAG,,,24450,34000,10,29,33008,30,69,32519,70,99999,32030,,, - ,,
,Sb 35 x 40,,,SHOPPING BAG,,,30030,41500,10,29,40541,30,49,39940,50,99999,39339,,, - ,,
,Sb 35 x 50,,,SHOPPING BAG,,,34755,48000,10,29,46919,30,49,46224,50,99999,45529,,, - ,,
,spbn 25x35x8,,,SPUNBOND,,,1200,2500,12,119,1920,120,99999,1800,,, - ,,, - ,,
,spbn 30x40x8,,,SPUNBOND,,,1450,3000,12,119,2695,120,99999,2503,,, - ,,, - ,,
,Spbn dos 22,,,SPUNBOND,,,2521,4000,12,119,3769,120,99999,3479,,, - ,,, - ,,
,Stand 10 x 17,,,STANDING POUCH,,,9625,13000,10,29,12224,30,93,11839,94,99999,11550,,, - ,,
,"Stand 10 x 17,6 panda",,,STANDING POUCH,,,8500,12000,10,29,11500,30,99999,11200,,, - ,,, - ,,
,Stand 12 X 20,,,STANDING POUCH,,,13325,18000,10,29,17355,30,69,16808,70,99999,16398,,, - ,,
,Stand 12 x 20 panda,,,STANDING POUCH,,,12700,16500,10,29,16000,30,99999,15600,,, - ,,, - ,,
,Stand 14 x 22,,,STANDING POUCH,,,17358,23000,10,29,22435,30,53,21728,54,99999,21198,,, - ,,
,stand 14 x 22 panda,,,STANDING POUCH,,,16450,21900,10,29,21300,30,99999,20500,,, - ,,, - ,,
,Stand 16 x 24,,,STANDING POUCH,,,25757,34000,10,29,33325,30,35,32275,36,99999,31488,,, - ,,
,Stand 16 x 24 panda,,,STANDING POUCH,,,24570,31000,10,29,30000,30,99999,29600,,, - ,,, - ,,
,Stand 16 x 32,,,STANDING POUCH,,,32903,43500,10,29,42450,30,99999,41113,,, - ,,, - ,,
,Stand 16 x 32 panda,,,STANDING POUCH,,,34300,40000,10,29,38800,30,99999,36900,,, - ,,, - ,,
,Stand 20 x 29,,,STANDING POUCH,,,39724,51500,10,23,50449,24,99999,48861,,, - ,,, - ,,
,Stand 20 x 29 panda,,,STANDING POUCH,,,42630,53000,10,29,51500,30,99999,50300,,, - ,,, - ,,
,Stapler kenko bsr,,,STAPLER,,,17500,21000,10,99999,19500,,, - ,,, - ,,, - ,,
,Stapler kenko kcl,,,STAPLER,,,7500,9000,10,29,8500,30,99999,8000,,, - ,,, - ,,
,Stapler Max HD 10,,,STAPLER,,,13600,16500,10,99999,15428,,, - ,,, - ,,, - ,,
,Stapler vtec besar hd-45v,,,STAPLER,,,18500,23500,10,99999,22200,,, - ,,, - ,,, - ,,
,Stapler vtec kecil hd-10v,,,STAPLER,,,8650,11000,10,99999,10200,,, - ,,, - ,,, - ,,
,Tf 2,,,STEROFOAM,,,254,500,100,499,355,500,999,335,1000,99999,325,,, - ,,
,TF 2 Lux,,,STEROFOAM,,,21500,25000,5,99999,24500,,, - ,,, - ,,, - ,,
,Tf 3 polos,,,STEROFOAM,,,360,600,100,499,455,500,999,435,1000,99999,405,,, - ,,
,Tf 3 polos LUX,,,STEROFOAM,,,270,500,100,499,400,500,999,380,1000,99999,370,,, - ,,
,Tf 3 sekat,,,STEROFOAM,,,360,600,100,499,455,500,999,435,1000,99999,405,,, - ,,
,Tf burger,,,STEROFOAM,,,195,240,200,1999,230,2000,99999,220,,, - ,,, - ,,
,Sumpit bambu,,,SUMPIT,,,3000,4000,10,29,3700,30,99999,3600,,, - ,,, - ,,
,Sumpit bambu ion+tusuk gigi,,,SUMPIT,,,5447,7500,10,29,7000,30,49,6800,50,99999,6600,,, - ,,
,Tp 15 x 22 rea,,,TAS PLONG,,,8250,11000,10,29,10226,30,139,9982,140,99999,9817,,, - ,,
,Tp 15 x 25,,,TAS PLONG,,,8150,12000,10,29,11329,30,69,11035,70,99999,10740,,, - ,,
,Tp 20 x 30,,,TAS PLONG,,,15910,22000,10,29,21319,30,34,21025,35,99999,20730,,, - ,,
,Tp 20 x 30 rea,,,TAS PLONG,,,15787,19000,10,29,18470,30,79,18313,80,99999,18155,,, - ,,
,Tp 25 x 35,,,TAS PLONG,,,23150,32000,10,24,31253,25,99999,30280,,, - ,,, - ,,
,Tp 25 x 35 rea,,,TAS PLONG,,,24953,30000,10,29,29195,30,49,28945,50,99999,28696,,, - ,,
,Tp 30 x 40,,,TAS PLONG,,,33096,44000,10,24,43228,25,99999,42250,,, - ,,, - ,,
,TP 30 x 40 CKP @50 lbr,,,TAS PLONG,,,17500,21000,10,24,20500,25,99999,20000,,, - ,,, - ,,
,Tp 30 x 40 rea,,,TAS PLONG,,,33814,40500,10,29,39600,30,39,39200,40,99999,38900,,, - ,,
,TP 35 x 45 CKP @50 lbr,,,TAS PLONG,,,21600,26500,10,24,25400,25,99999,24700,,, - ,,, - ,,
,Tp 35 x 50 rea,,,TAS PLONG,,,46749,56500,10,24,54697,25,99999,53762,,, - ,,, - ,,
,Tpl kpl lyr 2x3/a5,,,TERPAL KAPAL LAYAR,,,45594,56000,5,99999,54713,,, - ,,, - ,,, - ,,
,Tpl kpl lyr 3X4/a5,,,TERPAL KAPAL LAYAR,,,91188,111500,5,99999,109426,,, - ,,, - ,,, - ,,
,Tpl kpl lyr 4X6/a5,,,TERPAL KAPAL LAYAR,,,182376,223000,5,99999,218851,,, - ,,, - ,,, - ,,
,Tpl kpl lyr 5x7/a5,,,TERPAL KAPAL LAYAR,,,265965,325000,5,99999,319158,,, - ,,, - ,,, - ,,
,Tpl kpl lyr 6x8/a5,,,TERPAL KAPAL LAYAR,,,364752,446000,5,99999,437702,,, - ,,, - ,,, - ,,
,OX-100,,,THIN FOIL,,,400,650,100,1999,600,2000,99999,580,,, - ,,, - ,,
,Thinwall 1.500 ml Lux,,,THINWALL LUX,,,43500,52500,3,5,49802,6,99999,48128,,, - ,,, - ,,
,Thinwall 1.500 ml Lux ec,,,THINWALL LUX,,,1800,2300,,, - ,,, - ,,, - ,,, - ,,
,Thinwall 1000 ml Lux,,,THINWALL LUX,,,37600,45000,3,5,42500,6,99999,40000,,, - ,,, - ,,
,Thinwall 1000 ml Lux ec,,,THINWALL LUX,,,1500,1950,,, - ,,, - ,,, - ,,, - ,,
,Jolly facial 250 sheet,,,TISU,,,7175,8500,10,29,8173,30,47,7995,48,99999,7818,,, - ,,
,Jolly pop up kecil,,,TISU,,,2575,3500,10,29,3059,30,99,2995,100,99999,2931,,, - ,,
,Toply pth,,,TISU,,,3756,4500,10,29,4205,30,59,4150,60,99999,4100,,, - ,,
,T-soft 500 gram,,,TISU,,,11650,15500,6,11,13800,12,99999,13500,,, - ,,, - ,,
,T-soft pth,,,TISU,,,2363,3500,10,29,3000,39,59,2800,60,99999,2600,,, - ,,
,Toples 1/2kg,,,TOPLES,,,30450,35000,10,29,34500,30,99999,34000,,, - ,,, - ,,
,Toples 1/4kg,,,TOPLES,,,22350,29000,10,29,27000,30,99999,26500,,, - ,,, - ,,
,Toples tabung 1000 ml,,,TOPLES,,,3300,4700,20,39,4200,40,99999,3850,,, - ,,, - ,,
,Toples tabung 1400 ml,,,TOPLES,,,3550,4900,20,39,4350,40,99999,4000,,, - ,,, - ,,
,Toples tabung 500 ml,,,TOPLES,,,3250,4500,25,49,4000,50,99999,3750,,, - ,,, - ,,
,Toples tabung 750 ml,,,TOPLES,,,3300,4700,20,44,4200,45,99999,3850,,, - ,,, - ,,
,Bento 4 sekat bening,,,TRAY BENTO,,,44080,60000,6,11,56875,12,99999,54688,,, - ,,, - ,,
,Bento bening 4 sekat klir,,,TRAY BENTO,,,42700,50000,6,11,46604,12,99999,44578,,, - ,,, - ,,
,Bento hitam SP,,,TRAY BENTO,,,47579,55000,5,7,53526,8,99999,52337,,, - ,,, - ,,
,Bento hitam tekno,,,TRAY BENTO,,,50457,58000,5,7,56764,8,99999,55503,,, - ,,, - ,,
